,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
434,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Raju,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5857406,2018-02-10,SYR21328,21328,Battles,4,1,2,8,28,760,SYR,36.6186,Qude,36.6422,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Qude, Hamam, Deir Ballut, Sheikh Khoraz in Afrin district in the northern countryside of Aleppo in conjunction with a Turkish shelling on the areas of clashes, casualties from both sides were reported including 2 pilots who were on the Turkish helicopter which was shot down in Qude. Unknown number of fatalities coded as 10. Distributed fatalities over the activities in Qude, Hamam, Deir Ballut, Sheikh Khoraz",Middle East,SOHR,Other,Armed clash,1,1567462266,2018
435,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Bulbul,,,Syria,6076452,2018-02-10,SYR21332,21332,Battles,0,2,8,2,28,760,SYR,36.7335,Sheikh Khoraz,36.8891,"The Turkish army clashed with YPG around Sheikh Khoraz village in Afrin district in Aleppo northern countryside, likely in the Sheik al-Hadid area. No casualties were reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164570,2018
436,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Bulbul,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5861876,2018-02-10,SYR21333,21333,Battles,2,1,2,8,28,760,SYR,36.7335,Sheikh Khoraz,36.8891,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Qude, Hamam, Deir Ballut, Sheikh Khoraz in Afrin district in the northern countryside of Aleppo in conjunction with a Turkish shelling on the areas of clashes, casualties from both sides were reported including 2 pilots who were on the Turkish helicopter which was shot down in Qude. Unknown number of fatalities coded as 10. Distributed fatalities over the activities in Qude, Hamam, Deir Ballut, Sheikh Khoraz",Middle East,SOHR,Other,Armed clash,1,1567462272,2018
437,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Afrin,,,Syria,6080690,2018-02-09,SYR21204,21204,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.5111,Afrin,36.8655,"Turkish jet targeted YPG position in Afrin, no casualties were reported.",Middle East,Liveuamap,Local partner-New media,Air/drone strike,1,1571164583,2018
438,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5859553,2018-02-09,SYR21238,21238,Battles,0,2,2,8,28,760,SYR,36.3925,Jandairis,36.6896,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Jandairis area in Afrin district in the northern countryside of Aleppo in conjunction with a Turkish shelling on the areas of clashes, no casualties were reported.",Middle East,SOHR,Other,Armed clash,1,1567462269,2018
439,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Bulbul,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5853440,2018-02-09,SYR21267,21267,Battles,0,1,2,8,28,760,SYR,36.7335,Sheikh Khoraz,36.8891,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Sheikh Khoraz in Afrin district in the northern countryside of Aleppo in conjunction with a Turkish shelling on the areas of clashes, no casualties were reported.",Middle East,SOHR,Other,Armed clash,1,1567462261,2018
440,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6081003,2018-02-08,SYR21169,21169,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.5220,Menagh - Military Airport,37.0383,Turkish warplanes struck YPG positions near Menagh airport with no injuries or fatalities reported.,Middle East,Liveuamap,Local partner-New media,Air/drone strike,1,1571164583,2018
441,Operation Olive Branch,YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,Military Forces of Turkey (2016-),,Syria,6081316,2018-02-08,SYR21146,21146,Battles,0,2,2,2,22,760,SYR,36.6358,Jabal Barsaya,37.0324,Turkish-led Operation Olive Branch forces advanced on YPG positions at Bafilun mount southwest of Jabal Barsaya. At least six airstrikes were employed in support of the maneuver. No injuries or fatalities were reported.,Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164584,2018
442,YPG: Peoples Protection Units,Operation Olive Branch,Aleppo,Afrin,Jandairis,,Military Forces of Turkey (2016-),Syria,6075444,2018-02-08,SYR21149,21149,Battles,0,1,2,2,22,760,SYR,36.3925,Jandairis,36.6896,"YPG forces shelled Operation Olive Branch positions in Jandairis with MLRS BM-21 Grad rockets. In response, Turkish warplanes carried out raids on YPG positions including. No injuries or fatalities were reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164569,2018
443,YPG: Peoples Protection Units,Operation Olive Branch,Aleppo,Afrin,Bulbul,,Military Forces of Turkey (2016-),Syria,6082195,2018-02-08,SYR21194,21194,Explosions/Remote violence,0,1,2,2,22,760,SYR,36.7335,Sheikh Khoraz,36.8891,"YPG forces targeted, likely with a guided missile or shelling, an Operation Olive Branch military vehicle in the town of Sheikh Khoraz. No injuries or fatalities were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164585,2018
