,data_id,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
77,6075822,2019-03-21,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Menagh - Military Airport,36.5220,37.0383,Liveuamap,"On 21 March 2019, Turkish forces shelled YPG positions in the Menagh Military Airport with neither injuries nor fatalities reported.",0,1571164569
78,6081497,2019-03-21,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Ein Daqneh,36.5248,37.0776,Liveuamap,"On 21 March 2019, Turkish forces shelled YPG positions in the town of Ein Daqneh with neither injuries nor fatalities reported.",0,1571164584
79,5854192,2019-02-09,Battles,Armed clash,YPG: Peoples Protection Units,,Military Forces of Turkey (2016-),,Aleppo,Afrin,Jandairis,Jandairis,36.3925,36.6896,SOHR,"YPG attacked a Turkish army members present on Jandairis road in Afrin district of Aleppo. This attack along with the one on 8 February, killed 1 Turkish soldier and wounded 6 others. 1 fatality coded to this event.",1,1567462262
80,5856221,2019-02-08,Battles,Armed clash,YPG: Peoples Protection Units,,Military Forces of Turkey (2016-),,Aleppo,Afrin,Jandairis,Jandairis,36.3925,36.6896,SOHR,"YPG attacked a Turkish army members present near Jandairis in Afrin district of Aleppo. This attack along with the one on 9 February, killed 1 Turkish soldier and wounded 6 others. 1 fatality coded to the event on 9 February.",0,1567462265
81,6075807,2019-01-25,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,Liveuamap,Turkish forces shelled YPG positions in the town of Tall Refaat with no injuries or fatalities reported.,0,1571164569
82,6080073,2019-01-24,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,Liveuamap,Turkish forces shelled YPG positions in the town of Tall Refaat with no injuries or fatalities reported.,0,1571164582
83,5677596,2019-01-19,Explosions/Remote violence,Shelling/artillery/missile attack,YPG: Peoples Protection Units,,Former Operation Olive Branch,Opposition Rebels (Syria),Aleppo,Afrin,Afrin,Kimar,36.4233,36.8959,SOHR,"YPG shelled Kimar in northern Aleppo countryside, killing 1 opposition rebel under former Operation Olive Branch and wounding 5 other fighters.",1,1564753641
84,5839819,2019-01-12,Battles,Armed clash,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Al-Hasakeh,Ras Al Ain,Ras Al Ain,Ras Al Ain,36.8494,40.0747,SHAM,Turkish forces fired shot towards Ras Al Ain in Al-Hasakeh in response to shots fired by YPG fighters on Yalanij along the Turkish-Syrian border.,0,1567462244
85,6079163,2019-01-11,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Ar-Raqqa,Tell Abiad,Tell Abiad,Sawsak,36.6967,38.8329,Liveuamap,Turkish forces shelled YPG positions in Sawsak village in the vicinity of Tell Abiad in Ar-Raqqa. Neither injuries nor fatalities were reported.,0,1571164581
86,6080394,2019-01-10,Battles,Armed clash,YPG: Peoples Democratic Forces - Anti-Terror Unit,,Military Forces of Turkey (2016-),,Al-Hasakeh,Al-Malikeyyeh,Al-Malikeyyeh,Al-Malikeyyeh,37.1745,42.1403,Liveuamap,YPG targeted and downed a Turkish UAV over al-Malikeyyeh in eastern al-Hasakeh countryside.,0,1571164582
87,5862456,2018-12-16,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),Islamist Militia (Syria),YPG: Peoples Protection Units,,Aleppo,Afrin,Afrin,Afrin,36.5111,36.8655,SOHR,Turkish forces and their Islamist faction allies fired rocket shells at the Bineh area on the outskirts of the Afrin area which is controlled by YPG and loyalist militia fighters. The shelling caused material damage and killed 2 YPG fighters while injuring others.,2,1567462273
88,6076843,2018-12-14,Explosions/Remote violence,Shelling/artillery/missile attack,YPG: Peoples Protection Units,,Military Forces of Turkey (2016-),,Aleppo,Afrin,Afrin,Afrin,36.5111,36.8655,Liveuamap,YPG fighters fired an ATGM missile at Turkish forces in the Afrin area with no injuries or fatalities reported.,0,1571164570
